Aou,Seq,EnglishAbbrev,FrenchName,SpanishName,Code,EnglishFull,EnglishNoSpaces,Genus,Species,SpFamilyID,date_creat,ed,who_created,date_updat,ed,who_updated,Comm,ents
00730,2004,Aleutian Tern,Sterne des Aléoutiennes,Onychoprion aleuticus,ALTE,Aleutian Tern,AleutianTern,Onychoprion,aleuticus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00740,2000,Least Tern,Petite Sterne,Sternula antillarum,LETE,Least Tern,LeastTern,Sternula,antillarum,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00741,1996,Little Tern,NULL,Sternula albifrons,LITE,Little Tern,LittleTern,Sternula,albifrons,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00750,2016,Sooty Tern,Sterne fuligineuse,Onychoprion fuscatus,SOTE,Sooty Tern,SootyTern,Onychoprion,fuscatus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00760,2012,Bridled Tern,Sterne bridée,Onychoprion anaethetus,BRTE,Bridled Tern,BridledTern,Onychoprion,anaethetus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00761,2008,Gray-backed Tern,NULL,Onychoprion lunatus,GBAT,Gray-backed Tern,GraybackedTern,Onychoprion,lunatus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00770,2020,Black Tern,Guifette noire,Chlidonias niger,BLTE,Black Tern,BlackTern,Chlidonias,niger,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00790,2024,Brown Noddy,NULL,Anous stolidus,BRNO,Brown Noddy,BrownNoddy,Anous,stolidus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00791,2028,Black Noddy,NULL,Anous minutus,BLNO,Black Noddy,BlackNoddy,Anous,minutus,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00792,2036,Blue-gray Noddy,NULL,Procelsterna cerulea,BGNO,Blue-gray Noddy,BluegrayNoddy,Procelsterna,cerulea,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00793,2040,White Tern,NULL,Gygis alba,WHTT,White Tern,WhiteTern,Gygis,alba,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00800,2048,Black Skimmer,Bec-en-ciseaux noir,Rynchops niger,BLSK,Black Skimmer,BlackSkimmer,Rynchops,niger,13,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00810,608,Black-foot. Albatross,Albatros à pieds noirs,Phoebastria nigripes,BFAL,Black-footed Albatross,BlackfootedAlbatross,Phoebastria,nigripes,97,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00811,600,Wandering Albatross,NULL,Diomedea exulans,WAAL,Wandering Albatross,WanderingAlbatross,Diomedea,exulans,97,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00820,612,Short-tail. Albatross,Albatros à queue courte,Phoebastria albatrus,STAL,Short-tailed Albatross,ShorttailedAlbatross,Phoebastria,albatrus,97,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00821,604,Laysan Albatross,Albatros de Laysan,Phoebastria immutabilis,LAAL,Laysan Albatross,LaysanAlbatross,Phoebastria,immutabilis,97,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00822,596,Black-brow Albatross,Albatros à sourcils noirs,Thalassarche melanophris,BBAL,Black-browed Albatross,BlackbrowedAlbatross,Thalassarche,melanophris,97,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00823,592,Shy Albatross,NULL,Thalassarche cauta,SHAL,Shy Albatross,ShyAlbatross,Thalassarche,cauta,97,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00830,588,Yel-nosed Albatross,Albatros à nez jaune,Thalassarche chlororhynchos,YNAL,Yellow-nosed Albatross,YellownosedAlbatross,Thalassarche,chlororhynchos,97,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00860,616,Northern Fulmar,Fulmar boréal,Fulmarus glacialis,NOFU,Northern Fulmar,NorthernFulmar,Fulmarus,glacialis,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00880,708,Cory's Shearwater,Puffin cendré,Calonectris diomedea,COSH,Cory's Shearwater,CorysShearwater,Calonectris,diomedea,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00881,704,Streaked Shearwater,NULL,Calonectris leucomelas,STRS,Streaked Shearwater,StreakedShearwater,Calonectris,leucomelas,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00890,720,Greater Shearwater,Puffin majeur,Puffinus gravis,GRSH,Greater Shearwater,GreaterShearwater,Puffinus,gravis,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00900,744,Manx Shearwater,Puffin des Anglais,Puffinus puffinus,MASH,Manx Shearwater,ManxShearwater,Puffinus,puffinus,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00910,712,Pink-foot Shearwater,Puffin à pieds roses,Puffinus creatopus,PFSH,Pink-footed Shearwater,PinkfootedShearwater,Puffinus,creatopus,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00920,756,Audubon's Shearwater,Puffin d'Audubon,Puffinus lherminieri,AUSH,Audubon's Shearwater,AudubonsShearwater,Puffinus,lherminieri,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00921,760,Little Shearwater,Petit Puffin,Puffinus assimilis,LISH,Little Shearwater,LittleShearwater,Puffinus,assimilis,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00930,752,Black-vent Shearwater,Puffin cul-noir,Puffinus opisthomelas,BVSH,Black-vented Shearwater,BlackventedShearwater,Puffinus,opisthomelas,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00931,748,Townsend's Shearwater,NULL,Puffinus auricularis,TOSH,Townsend's Shearwater,TownsendsShearwater,Puffinus,auricularis,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00950,732,Sooty Shearwater,Puffin fuligineux,Puffinus griseus,SOSH,Sooty Shearwater,SootyShearwater,Puffinus,griseus,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00951,716,Flesh-foot Shearwater,Puffin à pieds pâles,Puffinus carneipes,FFSH,Flesh-footed Shearwater,FleshfootedShearwater,Puffinus,carneipes,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00960,736,Short-tail Shearwater,Puffin à bec grêle,Puffinus tenuirostris,SHOS,Short-tailed Shearwater,ShorttailedShearwater,Puffinus,tenuirostris,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00961,724,Wedge-tail Shearwater,NULL,Puffinus pacificus,WTSH,Wedge-tailed Shearwater,WedgetailedShearwater,Puffinus,pacificus,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00962,728,Buller's Shearwater,Puffin de Buller,Puffinus bulleri,BULS,Buller's Shearwater,BullersShearwater,Puffinus,bulleri,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00963,740,Christmas Shearwater,NULL,Puffinus nativitatis,CHSH,Christmas Shearwater,ChristmasShearwater,Puffinus,nativitatis,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00980,644,Black-capped Petrel,Pétrel diablotin,Pterodroma hasitata,BCPE,Black-capped Petrel,BlackcappedPetrel,Pterodroma,hasitata,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00981,640,Bermuda Petrel,NULL,Pterodroma cahow,BEPE,Bermuda Petrel,BermudaPetrel,Pterodroma,cahow,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00983,684,Cook's Petrel,NULL,Pterodroma cookii,COOP,Cook's Petrel,CooksPetrel,Pterodroma,cookii,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00984,624,Kermadec Petrel,NULL,Pterodroma neglecta,KEPE,Kermadec Petrel,KermadecPetrel,Pterodroma,neglecta,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00985,652,Galapagos Petrel,NULL,Pterodroma phaeopygia,GAPE,Galapagos Petrel,GalapagosPetrel,Pterodroma,phaeopygia,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00986,628,Herald Petrel,NULL,Pterodroma arminjoniana,HEPE,Herald Petrel,HeraldPetrel,Pterodroma,arminjoniana,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00987,656,Hawaiian Petrel,NULL,Pterodroma sandwichensis,HAPE,Hawaiian Petrel,HawaiianPetrel,Pterodroma,sandwichensis,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
00990,636,Mottled Petrel,Pétrel maculé,Pterodroma inexpectata,MOPE,Mottled Petrel,MottledPetrel,Pterodroma,inexpectata,99,6/8/2011,13:27:00,2170,3/6/2012,22:45.1,NULL,List,creation
